dt,temp,humidity,wind_speed,city,id
11/30/2021,-5.7900000000000205,76,0.45,Manchester,1521856585631397751
11/30/2021,-5.939999999999998,77,0.45,Manchester,1175979914347021704
11/30/2021,-6.180000000000007,78,2.81,Manchester,1452680811569877915
11/30/2021,-5.310000000000002,77,0.89,Manchester,1337389320816173481
11/30/2021,-3.170000000000016,69,0.89,Manchester,1660207034242838451
11/30/2021,-1.0600000000000023,62,0.89,Manchester,1913850073119604158
11/30/2021,1.079999999999984,57,0.45,Manchester,1222096730550848459
11/30/2021,2.6999999999999886,54,0.89,Manchester,1360447728918092250
11/30/2021,3.2200000000000273,57,0.89,Manchester,253643040515057646
11/30/2021,2.7200000000000273,60,1.34,Manchester,138350450249725441
11/30/2021,2.6399999999999864,62,0.45,Manchester,207526224311256082
11/30/2021,1.7300000000000182,66,2.06,Manchester,1821615890956194342
11/30/2021,0.20999999999997954,72,0.45,Manchester,1521856585631440953
11/30/2021,0.5500000000000114,71,0.45,Manchester,1638313545
11/29/2021,-0.060000000000002274,64,0.45,Manchester,899279017124043089
11/29/2021,-0.35000000000002274,67,0.58,Manchester,530343937737762660
11/29/2021,-0.4200000000000159,69,0.26,Manchester,1936907931465561461
11/29/2021,-0.5299999999999727,70,0.56,Manchester,69175225943868295
11/29/2021,-0.6100000000000136,71,1.06,Manchester,1037629465735483800
11/29/2021,-0.6800000000000068,71,0.45,Manchester,1775499074752241575
11/29/2021,-0.7300000000000182,73,0.45,Manchester,1660207034242723257
11/29/2021,-1.0500000000000114,75,0.45,Manchester,922337425225972683
11/29/2021,-0.9700000000000273,75,0.45,Manchester,1106804690041211355
11/29/2021,-1.1999999999999886,76,3.09,Manchester,2052199971975108590
11/29/2021,-1.339999999999975,79,0.89,Manchester,1268214096510363135
11/29/2021,-1.1800000000000068,79,0.45,Manchester,622577570145416207
11/29/2021,-1.1399999999999864,78,0.45,Manchester,714811202553037342
11/29/2021,-0.9700000000000273,77,0.45,Manchester,1106804690041229357
11/29/2021,-0.5600000000000023,75,0.89,Manchester,760928568512667196
11/29/2021,0.339999999999975,69,0.89,Manchester,530343937737813063
11/29/2021,1.329999999999984,64,0.89,Manchester,507285529635912275
11/29/2021,2.5,61,0.89,Manchester,899279017124104289
11/29/2021,2.8700000000000045,56,2.68,Manchester,1268213546754578030
11/29/2021,2.8700000000000045,50,1.79,Manchester,1521856035875529847
11/29/2021,1.8999999999999773,53,2.68,Manchester,1337389320816112266
11/29/2021,0.4900000000000091,61,1.79,Manchester,645635978247356576
11/29/2021,-0.5699999999999932,64,1.79,Manchester,507285529635933874
11/29/2021,-1.1200000000000045,64,1.79,Manchester,1544914993733262529
12/03/2021,8.689999999999998,84,6.45,keen,322818264820965236
12/03/2021,7.699999999999989,86,7.53,keen,530343937738108294
12/03/2021,4.779999999999973,84,6.76,keen,1245155138652961680
12/03/2021,4.240000000000009,82,6.51,keen,1729382258548771229
12/03/2021,4.490000000000009,79,6.65,keen,322818264820979627
12/03/2021,4.269999999999982,74,6.74,keen,23058409740412342
12/03/2021,3.490000000000009,68,6.59,keen,184467266453746623
12/03/2021,3.269999999999982,69,6.45,keen,1660207034243072463
12/03/2021,3.0,68,6.58,keen,1337388771060600798
12/03/2021,2.3899999999999864,70,6.97,keen,830103792818707952
12/03/2021,1.9800000000000182,70,6.66,keen,1475739769427848191
12/03/2021,1.3500000000000227,73,6.17,keen,1199038322449185297
12/03/2021,0.7799999999999727,76,6.19,keen,2236667786546513955
12/03/2021,0.9200000000000159,76,6.56,keen,1106804690041574964
12/03/2021,1.3700000000000045,74,5.89,keen,599519162043868226
12/03/2021,1.920000000000016,69,5.77,keen,1591031809937388109
12/03/2021,2.089999999999975,66,5.76,keen,1959966339567861850
12/03/2021,2.75,64,5.87,keen,1429622403468250729
12/03/2021,2.75,61,5.56,keen,714811202553404534
12/03/2021,2.4499999999999886,61,5.53,keen,2259726194648443525
12/03/2021,1.910000000000025,62,4.89,keen,1844674848814168213
12/03/2021,1.2099999999999795,63,4.27,keen,1106804690041603749
12/03/2021,-0.160000000000025,68,3.26,keen,230584082657612984
12/02/2021,0.3199999999999932,87,0.8,keen,276700898861256169
12/02/2021,0.39999999999997726,87,1.06,keen,1060687873837636601
12/02/2021,0.589999999999975,86,1.28,keen,2006083155771533832
12/02/2021,1.0199999999999818,87,1.27,keen,668694386349455386
12/02/2021,1.8199999999999932,85,1.98,keen,1844674299058210345
12/02/2021,2.0400000000000205,90,3.34,keen,876220059266602048
12/02/2021,2.0299999999999727,93,3.81,keen,1936907931465835091
12/02/2021,2.420000000000016,94,4.38,keen,1844674848814035045
12/02/2021,3.3100000000000023,94,5.6,keen,2098316788179172983
12/02/2021,3.680000000000007,94,5.73,keen,945395833328143496
12/02/2021,3.7200000000000273,95,5.01,keen,1683265442344901272
12/02/2021,3.8899999999999864,96,4.56,keen,1037629465735768233
12/02/2021,3.7799999999999727,95,3.68,keen,1060687873837676215
12/02/2021,4.0400000000000205,96,3.47,keen,1175979914347201736
12/02/2021,5.0,94,3.62,keen,1429622403468153559
12/02/2021,5.850000000000023,92,4.21,keen,138350450249883879
12/02/2021,6.240000000000009,91,4.78,keen,46116817842269943
12/02/2021,6.490000000000009,91,4.82,keen,714811202553314567
12/02/2021,7.410000000000025,90,5.4,keen,1867733256915979031
12/02/2021,8.800000000000011,87,5.93,keen,1683265442344933670
12/02/2021,9.310000000000002,84,6.08,keen,899278467368560436
12/02/2021,10.04000000000002,80,5.52,keen,1291271954856752448
12/02/2021,9.769999999999982,80,6.06,keen,1913849523363988304
12/02/2021,8.75,83,6.0,keen,1729382258548756834
12/01/2021,-0.44999999999998863,92,3.51,keen,138350450249743472
12/01/2021,-0.7099999999999795,95,3.74,keen,69175225944033923
12/01/2021,-0.5600000000000023,94,3.23,keen,1544914993733359761
12/01/2021,-0.7200000000000273,96,3.53,keen,1867732707160024739
12/01/2021,-0.3199999999999932,94,4.18,keen,1983025297425364146
12/01/2021,-0.18000000000000682,92,4.87,keen,1591031260181365441
12/01/2021,-0.17000000000001592,89,4.2,keen,69175225944051918
12/01/2021,-0.18999999999999773,84,4.61,keen,968453691674140377
12/01/2021,-0.5099999999999909,88,4.49,keen,2259726194648231148
12/01/2021,-0.910000000000025,92,3.47,keen,1291271954856622847
12/01/2021,-0.2599999999999909,87,3.35,keen,207525674555492619
12/01/2021,-0.5500000000000114,90,3.34,keen,1821615890956244765
12/01/2021,-0.5,92,3.14,keen,1475739769427682607
12/01/2021,-0.10000000000002274,90,3.25,keen,345876672922743614
12/01/2021,1.259999999999991,82,3.82,keen,184467266453602632
12/01/2021,2.680000000000007,77,3.87,keen,1268213546754740052
12/01/2021,3.5,73,4.13,keen,1452681361325792609
12/01/2021,3.3000000000000114,72,3.66,keen,2213609378444454767
12/01/2021,3.7200000000000273,71,2.64,keen,830103792818567550
12/01/2021,3.680000000000007,70,1.89,keen,1314330912714377100
12/01/2021,3.2900000000000205,70,1.47,keen,1752440666650563995
12/01/2021,2.25,74,0.84,keen,207525674555532206
12/01/2021,0.9200000000000159,80,1.12,keen,92233634046013891
12/01/2021,0.05000000000001137,85,1.29,keen,783986426858962903
11/30/2021,-5.089999999999975,87,2.78,keen,1591031809937074917
11/30/2021,-5.930000000000007,89,2.44,keen,1175979914346985718
11/30/2021,-5.990000000000009,90,2.14,keen,345876672922617607
11/30/2021,-6.769999999999982,91,1.34,keen,1314330362958419222
11/30/2021,-6.110000000000014,91,1.32,keen,484227121534051111
11/30/2021,-5.930000000000007,92,1.41,keen,1106804690041286968
11/30/2021,-6.189999999999998,93,1.37,keen,415051347472531273
11/30/2021,-5.5400000000000205,91,1.24,keen,1614090218039004503
11/30/2021,-5.470000000000027,93,1.29,keen,1890791115261860713
11/30/2021,-4.550000000000011,91,1.14,keen,1360447728918063480
11/30/2021,-4.779999999999973,93,1.26,keen,1106804690041304970
11/30/2021,-4.589999999999975,93,1.15,keen,1291272504612357530
11/30/2021,-3.589999999999975,91,1.38,keen,1821616440711975849
11/30/2021,-3.1999999999999886,90,1.77,keen,1314330362958455225
11/30/2021,-1.910000000000025,88,2.98,keen,161408858351611850
11/30/2021,-1.3799999999999955,91,3.57,keen,438109755574468062
11/30/2021,-1.3600000000000136,94,3.52,keen,368935081024572401
11/30/2021,-1.0699999999999932,95,3.26,keen,438110305330289154
11/30/2021,-0.8000000000000114,95,3.28,keen,1106804690041333778
11/30/2021,-0.7599999999999909,95,3.63,keen,2006083705527236130
11/30/2021,-0.8000000000000114,95,3.36,keen,1291271954856576050
11/30/2021,-0.589999999999975,92,3.15,keen,1291272504612393535
11/30/2021,-0.37000000000000455,92,3.08,keen,1637148626140962895
11/30/2021,-0.4200000000000159,92,3.29,keen,2006083155771436639
11/29/2021,-0.5299999999999727,95,3.65,keen,276701448616810867
11/29/2021,-1.0299999999999727,95,2.54,keen,1175979914346899329
11/29/2021,-1.6499999999999773,95,1.68,keen,69175225943864720
11/29/2021,-2.519999999999982,95,1.69,keen,391993489126343583
11/29/2021,-2.3500000000000227,97,1.94,keen,1360447728917959089
11/29/2021,-1.759999999999991,97,2.52,keen,1752440666650337218
