dt,temp,humidity,wind_speed,city,id
1638489600,281.5,90,0.89,Manchester,899279017124388724
1638493200,281.35,89,1.34,Manchester,1591031260181523843
1638496800,280.73,91,1.79,Manchester,1199038322449152917
1638500400,279.2,91,0.89,Manchester,207526224311454115
1638504000,278.41,92,0.45,Manchester,1983025297425536946
1638507600,278.0,92,0.89,Manchester,2052200521731253698
1638511200,277.64,90,1.34,Manchester,2259726194648396752
1638514800,276.99,88,1.34,Manchester,760928018757173726
1638518400,276.52,86,0.45,Manchester,2236667786546499562
1638522000,276.59,84,2.24,Manchester,1913849523364027898
1638525600,276.55,77,2.68,Manchester,530343937738140676
1638529200,275.98,63,9.77,Manchester,1729382258548800012
1638532800,274.65,72,2.24,Manchester,2052200521731278876
1638536400,274.46,68,3.58,Manchester,92233634046154282
1638540000,274.4,65,3.13,Manchester,1222097280306914358
1638543600,274.9,61,1.34,Manchester,553402345840063041
1638547200,275.52,56,3.58,Manchester,230584082657591375
1638550800,276.18,52,3.58,Manchester,1752440666650725979
1638554400,276.17,49,2.68,Manchester,1959966889323682919
1638558000,276.18,47,2.24,Manchester,968454241430170229
1638561600,275.81,45,2.68,Manchester,1129863098143504515
1638565200,274.47,47,3.13,Manchester,1383506137020270228
1638568800,273.5,49,1.34,Manchester,1936907931465979043
1638403200,273.45,77,0.45,Manchester,2075258929833053662
1638406800,273.92,75,0.89,Manchester,1867733256915917805
1638410400,273.33,78,1.17,Manchester,1152921506245257728
1638414000,272.89,80,0.0,Manchester,2052200521731160080
1638417600,272.62,81,0.45,Manchester,161408858351748642
1638421200,272.69,81,2.06,Manchester,1729382258548692019
1638424800,272.63,81,1.54,Manchester,391993489126613571
1638428400,272.81,82,0.0,Manchester,1867732707160125522
1638432000,273.19,82,1.54,Manchester,1683265442344894052
1638435600,273.19,82,0.45,Manchester,1475739769427758195
1638439200,273.08,87,1.29,Manchester,853161651164715657
1638442800,273.31,90,1.54,Manchester,1959966339567757468
1638446400,273.41,92,0.0,Manchester,945395833328154285
1638450000,273.69,93,0.0,Manchester,1591031809937294526
1638453600,273.95,93,0.0,Manchester,2190550970342625998
1638457200,274.31,94,0.45,Manchester,1752440666650632416
1638460800,275.06,95,0.0,Manchester,138350450249887474
1638464400,276.59,94,0.0,Manchester,1360447179162451202
1638468000,278.11,95,2.06,Manchester,391992939370842903
1638471600,280.7,95,1.59,Manchester,668694386349513001
1638475200,279.89,91,0.0,Manchester,2052200521731221298
1638478800,280.19,93,1.54,Manchester,1683265442344940870
1638482400,280.53,91,2.57,Manchester,230584082657526614
1638486000,281.22,91,3.09,Manchester,714811202553336167
1638316800,273.49,72,0.45,Manchester,2167492562240584793
1638320400,273.66,73,0.45,Manchester,253643040515082859
1638324000,273.68,76,2.04,Manchester,1660207034242881663
1638327600,272.74,78,0.45,Manchester,438110305330325135
1638331200,272.22,82,0.45,Manchester,1544914993733366946
1638334800,272.21,82,1.85,Manchester,138350450249761460
1638338400,272.09,84,0.45,Manchester,1245155138652803268
1638342000,271.83,85,0.45,Manchester,645635978247478997
1638345600,272.14,86,0.45,Manchester,1360447728918146278
